tn,fp,fn,tp,accuracy,specificity,recall,score,threshold,vetoed
172,1,289,320,0.629156010230179,0.9942196531791907,0.5254515599343186,et_fault_prob,0.8313423969102792,291
173,0,293,316,0.6253196930946292,1.0,0.5188834154351396,et_fault_prob,0.835,296
173,0,296,313,0.6214833759590793,1.0,0.5139573070607554,et_fault_prob,0.84,299
173,0,296,313,0.6214833759590793,1.0,0.5139573070607554,et_fault_prob,0.8405569122774842,299
173,0,301,308,0.6150895140664961,1.0,0.5057471264367817,et_fault_prob,0.845,304
173,0,304,305,0.6112531969309463,1.0,0.5008210180623974,et_fault_prob,0.8482212735351853,307
173,0,305,304,0.6099744245524297,1.0,0.49917898193760263,et_fault_prob,0.85,308
173,0,309,300,0.6048593350383632,1.0,0.49261083743842365,et_fault_prob,0.855,312
173,0,312,297,0.6010230179028133,1.0,0.4876847290640394,et_fault_prob,0.8570087831894136,315
173,0,316,293,0.5959079283887468,1.0,0.48111658456486045,et_fault_prob,0.86,319
173,0,319,290,0.592071611253197,1.0,0.47619047619047616,et_fault_prob,0.865,322
173,0,320,289,0.5907928388746803,1.0,0.4745484400656814,et_fault_prob,0.8651080892300874,323
173,0,327,282,0.5818414322250639,1.0,0.4630541871921182,et_fault_prob,0.8682092997187337,330
173,0,330,279,0.578005115089514,1.0,0.458128078817734,et_fault_prob,0.87,333
173,0,335,274,0.571611253196931,1.0,0.44991789819376027,et_fault_prob,0.8726408097055565,338
173,0,343,266,0.5613810741687979,1.0,0.4367816091954023,et_fault_prob,0.875,346
173,0,343,266,0.5613810741687979,1.0,0.4367816091954023,et_fault_prob,0.8752120820253766,346
173,0,351,258,0.551150895140665,1.0,0.4236453201970443,et_fault_prob,0.8795910294939063,354
173,0,352,257,0.5498721227621484,1.0,0.4220032840722496,et_fault_prob,0.88,355
173,0,359,250,0.540920716112532,1.0,0.41050903119868637,et_fault_prob,0.8839697873247753,362
173,0,362,247,0.5370843989769821,1.0,0.40558292282430214,et_fault_prob,0.885,365
173,0,366,243,0.5319693094629157,1.0,0.39901477832512317,et_fault_prob,0.8870661426065641,369
173,0,374,235,0.5217391304347826,1.0,0.38587848932676516,et_fault_prob,0.8896131413169508,377
173,0,376,233,0.5191815856777494,1.0,0.3825944170771757,et_fault_prob,0.89,379
173,0,383,226,0.510230179028133,1.0,0.37110016420361247,et_fault_prob,0.8919144160969429,386
173,0,390,219,0.5012787723785166,1.0,0.35960591133004927,et_fault_prob,0.8934131646493148,393
173,0,395,214,0.4948849104859335,1.0,0.35139573070607555,et_fault_prob,0.895,398
173,0,398,211,0.49104859335038364,1.0,0.3464696223316913,et_fault_prob,0.8956376779770943,401
173,0,405,204,0.4820971867007673,1.0,0.33497536945812806,et_fault_prob,0.8988467099519907,408
173,0,413,196,0.4718670076726343,1.0,0.3218390804597701,et_fault_prob,0.8995749600915303,416
173,0,414,195,0.47058823529411764,1.0,0.32019704433497537,et_fault_prob,0.9,417
173,0,421,188,0.4616368286445013,1.0,0.30870279146141216,et_fault_prob,0.9015504305553816,424
173,0,430,179,0.45012787723785164,1.0,0.2939244663382594,et_fault_prob,0.9024907136607264,433
