model,seed,threshold,accuracy,specificity,recall,precision,f1,fp,fn
pfx600_rf_sw0.0,188,0.32,0.9166666666666666,0.6666666666666666,1.0,0.9,0.9473684210526315,2,0
pfx600_rf_sw0.0,208,0.31,0.8888888888888888,0.5,1.0,0.875,0.9333333333333333,3,0
pfx600_rf_sw0.0,240,0.708972709402883,0.8461538461538461,1.0,0.8,1.0,0.8888888888888888,0,4
pfx600_rf_sw0.0,244,0.1892259355464745,0.88,0.5,1.0,0.8636363636363636,0.926829268292683,3,0
pfx600_rf_sw0.0,261,0.3,0.88,0.6,0.95,0.9047619047619048,0.926829268292683,2,1
pfx600_rf_sw0.0,269,0.5999999999999999,0.8461538461538461,1.0,0.8,1.0,0.8888888888888888,0,4
pfx600_rf_sw0.0,275,0.45999999999999996,0.9615384615384616,0.8333333333333334,1.0,0.9523809523809523,0.975609756097561,1,0
pfx600_rf_sw0.0,289,0.245140296908024,0.9285714285714286,0.6666666666666666,1.0,0.9166666666666666,0.9565217391304348,2,0
pfx600_rf_sw0.35,0,0.44999999999999996,0.9230769230769231,0.8333333333333334,0.95,0.95,0.95,1,1
pfx600_rf_sw0.35,4,0.43999999999999995,0.8846153846153846,0.4,1.0,0.875,0.9333333333333333,3,0
pfx600_rf_sw0.35,7,0.3,0.9259259259259259,0.8333333333333334,0.9523809523809523,0.9523809523809523,0.9523809523809523,1,1
pfx600_rf_sw0.35,20,0.3315803703482265,0.96,0.8333333333333334,1.0,0.95,0.9743589743589743,1,0
pfx600_rf_sw0.35,33,0.2637795559623066,0.8928571428571429,0.5,1.0,0.88,0.9361702127659575,3,0
pfx600_rf_sw0.35,55,0.73,0.9230769230769231,1.0,0.9,1.0,0.9473684210526315,0,2
pfx600_rf_sw0.35,69,0.35,0.9259259259259259,0.8333333333333334,0.9523809523809523,0.9523809523809523,0.9523809523809523,1,1
pfx600_rf_sw0.35,72,0.6199999999999999,0.88,1.0,0.8421052631578947,1.0,0.9142857142857143,0,3
pfx600_rf_sw0.35,73,0.49999999999999994,0.9615384615384616,0.8333333333333334,1.0,0.9523809523809523,0.975609756097561,1,0
pfx600_rf_sw0.35,88,0.5999999999999999,0.8888888888888888,0.6,0.9545454545454546,0.9130434782608695,0.9333333333333333,2,1
pfx600_rf_sw0.35,91,0.3,0.9166666666666666,0.6,1.0,0.9047619047619048,0.95,2,0
