accuracy,precision,recall,specificity,f1,hard_negative_fpr,fp,fn,median_delay_s,p95_delay_s,seed,variant,margin
0.9642857142857143,1.0,0.9545454545454546,1.0,0.9767441860465117,0.0,0,1,40.0,90.0,114,conformal_alpha0.05,0.0
0.9642857142857143,1.0,0.9545454545454546,1.0,0.9767441860465117,0.0,0,1,40.0,90.0,114,q90_alpha0.05,0.0
0.9642857142857143,1.0,0.9545454545454546,1.0,0.9767441860465117,0.0,0,1,40.0,90.0,114,max_alpha0.05,0.0
0.76,1.0,0.6842105263157895,1.0,0.8125000000000001,0.0,0,6,40.0,74.99999999999997,119,conformal_alpha0.20,0.2437191861013678
0.88,0.9444444444444444,0.8947368421052632,0.8333333333333334,0.918918918918919,0.0,1,2,40.0,90.0,119,q90_alpha0.20,0.1182495238815359
0.76,1.0,0.6842105263157895,1.0,0.8125000000000001,0.0,0,6,40.0,74.99999999999997,119,max_alpha0.20,0.2437191861013678
0.76,1.0,0.6842105263157895,1.0,0.8125000000000001,0.0,0,6,40.0,74.99999999999997,119,conformal_alpha0.15,0.2437191861013678
0.88,0.9444444444444444,0.8947368421052632,0.8333333333333334,0.918918918918919,0.0,1,2,40.0,90.0,119,q90_alpha0.15,0.1182495238815359
0.76,1.0,0.6842105263157895,1.0,0.8125000000000001,0.0,0,6,40.0,74.99999999999997,119,max_alpha0.15,0.2437191861013678
0.76,1.0,0.6842105263157895,1.0,0.8125000000000001,0.0,0,6,40.0,74.99999999999997,119,conformal_alpha0.10,0.2437191861013678
